,DateTime,Ambient,Class
0,2023-08-23,Maize Field,56
1,2023-08-23,Meadow,112
2,2023-08-24,Maize Field,39
3,2023-08-24,Meadow,317
4,2023-08-25,Maize Field,140
5,2023-08-25,Meadow,87
6,2023-08-26,Maize Field,282
7,2023-08-26,Meadow,185
8,2023-08-27,Maize Field,117
9,2023-08-27,Meadow,137
10,2023-08-28,Maize Field,42
11,2023-08-28,Meadow,52
12,2023-08-29,Maize Field,1
13,2023-08-29,Meadow,32
14,2023-08-30,Maize Field,336
15,2023-08-30,Meadow,88
16,2023-08-31,Maize Field,252
17,2023-08-31,Meadow,135
18,2023-09-01,Maize Field,83
19,2023-09-01,Meadow,59
