,DateTime,Ambient,Class
0,2023-08-23 06:00:00,Maize Field,5
1,2023-08-23 06:00:00,Meadow,12
2,2023-08-23 08:00:00,Maize Field,27
3,2023-08-23 08:00:00,Meadow,47
4,2023-08-23 10:00:00,Maize Field,3
5,2023-08-23 10:00:00,Meadow,13
6,2023-08-23 12:00:00,Maize Field,7
7,2023-08-23 12:00:00,Meadow,13
8,2023-08-23 14:00:00,Maize Field,6
9,2023-08-23 14:00:00,Meadow,6
10,2023-08-23 16:00:00,Maize Field,5
11,2023-08-23 16:00:00,Meadow,6
12,2023-08-23 18:00:00,Maize Field,3
13,2023-08-23 18:00:00,Meadow,15
14,2023-08-24 06:00:00,Maize Field,2
15,2023-08-24 06:00:00,Meadow,9
16,2023-08-24 08:00:00,Maize Field,9
17,2023-08-24 08:00:00,Meadow,48
18,2023-08-24 10:00:00,Maize Field,4
19,2023-08-24 10:00:00,Meadow,10
20,2023-08-24 12:00:00,Maize Field,4
21,2023-08-24 12:00:00,Meadow,15
22,2023-08-24 14:00:00,Maize Field,3
23,2023-08-24 14:00:00,Meadow,3
24,2023-08-24 16:00:00,Maize Field,1
25,2023-08-24 16:00:00,Meadow,17
26,2023-08-24 18:00:00,Maize Field,16
27,2023-08-24 18:00:00,Meadow,215
28,2023-08-25 06:00:00,Maize Field,2
29,2023-08-25 06:00:00,Meadow,6
30,2023-08-25 08:00:00,Maize Field,12
31,2023-08-25 08:00:00,Meadow,31
32,2023-08-25 10:00:00,Meadow,12
33,2023-08-25 12:00:00,Maize Field,53
34,2023-08-25 12:00:00,Meadow,9
35,2023-08-25 14:00:00,Maize Field,37
36,2023-08-25 14:00:00,Meadow,4
37,2023-08-25 16:00:00,Maize Field,16
38,2023-08-25 16:00:00,Meadow,21
39,2023-08-25 18:00:00,Maize Field,20
40,2023-08-25 18:00:00,Meadow,4
41,2023-08-26 06:00:00,Maize Field,19
42,2023-08-26 06:00:00,Meadow,18
43,2023-08-26 08:00:00,Maize Field,62
44,2023-08-26 08:00:00,Meadow,32
45,2023-08-26 10:00:00,Maize Field,47
46,2023-08-26 10:00:00,Meadow,28
47,2023-08-26 12:00:00,Maize Field,76
48,2023-08-26 12:00:00,Meadow,55
49,2023-08-26 14:00:00,Maize Field,71
50,2023-08-26 14:00:00,Meadow,41
51,2023-08-26 16:00:00,Maize Field,5
52,2023-08-26 16:00:00,Meadow,4
53,2023-08-26 18:00:00,Maize Field,2
54,2023-08-26 18:00:00,Meadow,7
55,2023-08-27 06:00:00,Maize Field,5
56,2023-08-27 06:00:00,Meadow,15
57,2023-08-27 08:00:00,Maize Field,26
