,DateTime,Device,Class
0,2023-09-02 08:00:00,FAIR-D1,1
1,2023-09-02 08:00:00,FAIR-D3,2
2,2023-09-02 08:00:00,ID-1,7
3,2023-09-02 08:00:00,ID-2,8
4,2023-09-02 10:00:00,FAIR-D1,1
5,2023-09-02 10:00:00,FAIR-D2,3
6,2023-09-02 10:00:00,FAIR-D4,10
7,2023-09-02 12:00:00,FAIR-D1,3
8,2023-09-02 12:00:00,FAIR-D2,3
9,2023-09-02 12:00:00,FAIR-D3,3
10,2023-09-02 12:00:00,FAIR-D4,5
11,2023-09-02 12:00:00,ID-1,9
12,2023-09-02 12:00:00,ID-2,18
13,2023-09-02 12:00:00,ID-3,4
14,2023-09-02 12:00:00,ID-4,4
15,2023-09-02 14:00:00,FAIR-D1,4
16,2023-09-02 14:00:00,FAIR-D2,3
17,2023-09-02 14:00:00,FAIR-D3,1
18,2023-09-02 14:00:00,FAIR-D4,4
19,2023-09-02 14:00:00,ID-1,3
20,2023-09-02 14:00:00,ID-2,26
21,2023-09-02 14:00:00,ID-3,1
22,2023-09-02 14:00:00,ID-4,1
23,2023-09-02 16:00:00,FAIR-D1,2
24,2023-09-02 16:00:00,FAIR-D4,2
25,2023-09-02 16:00:00,ID-1,2
26,2023-09-02 16:00:00,ID-2,7
27,2023-09-02 16:00:00,ID-3,10
28,2023-09-02 16:00:00,ID-4,10
29,2023-09-02 18:00:00,FAIR-D1,1
30,2023-09-02 18:00:00,ID-2,7
31,2023-09-02 18:00:00,ID-3,22
32,2023-09-02 18:00:00,ID-4,22
33,2023-09-03 06:00:00,FAIR-D2,1
34,2023-09-03 06:00:00,FAIR-D4,1
35,2023-09-03 08:00:00,FAIR-D1,1
36,2023-09-03 08:00:00,FAIR-D3,1
37,2023-09-03 08:00:00,ID-2,9
38,2023-09-03 08:00:00,ID-3,4
39,2023-09-03 08:00:00,ID-4,4
40,2023-09-03 10:00:00,FAIR-D1,2
41,2023-09-03 12:00:00,FAIR-D3,4
42,2023-09-03 12:00:00,FAIR-D4,5
43,2023-09-03 12:00:00,ID-1,45
44,2023-09-03 12:00:00,ID-2,35
45,2023-09-03 12:00:00,ID-3,30
46,2023-09-03 12:00:00,ID-4,30
47,2023-09-03 14:00:00,FAIR-D2,2
48,2023-09-03 14:00:00,FAIR-D3,3
49,2023-09-03 14:00:00,FAIR-D4,2
50,2023-09-03 14:00:00,ID-1,13
51,2023-09-03 14:00:00,ID-2,33
52,2023-09-03 14:00:00,ID-3,20
53,2023-09-03 14:00:00,ID-4,20
54,2023-09-03 16:00:00,FAIR-D1,1
55,2023-09-03 16:00:00,FAIR-D2,1
56,2023-09-03 16:00:00,FAIR-D4,2
57,2023-09-03 16:00:00,ID-1,6
58,2023-09-03 16:00:00,ID-2,3
59,2023-09-03 16:00:00,ID-3,2
60,2023-09-03 16:00:00,ID-4,2
61,2023-09-03 18:00:00,FAIR-D3,3
62,2023-09-03 18:00:00,ID-1,2
63,2023-09-03 18:00:00,ID-2,2
64,2023-09-03 18:00:00,ID-3,7
65,2023-09-03 18:00:00,ID-4,7
66,2023-09-04 06:00:00,FAIR-D3,1
67,2023-09-04 06:00:00,FAIR-D4,1
68,2023-09-04 06:00:00,ID-3,1
69,2023-09-04 06:00:00,ID-4,1
70,2023-09-04 08:00:00,FAIR-D3,2
71,2023-09-04 08:00:00,ID-1,3
72,2023-09-04 08:00:00,ID-2,1
73,2023-09-04 08:00:00,ID-3,2
74,2023-09-04 08:00:00,ID-4,2
75,2023-09-04 10:00:00,FAIR-D3,1
76,2023-09-04 10:00:00,FAIR-D4,2
77,2023-09-04 12:00:00,FAIR-D1,2
78,2023-09-04 12:00:00,FAIR-D4,2
79,2023-09-04 12:00:00,ID-1,12
80,2023-09-04 12:00:00,ID-2,8
81,2023-09-04 12:00:00,ID-3,3
82,2023-09-04 12:00:00,ID-4,3
83,2023-09-04 14:00:00,FAIR-D1,1
84,2023-09-04 14:00:00,FAIR-D4,2
85,2023-09-04 14:00:00,ID-1,1
86,2023-09-04 14:00:00,ID-2,1
87,2023-09-04 16:00:00,FAIR-D1,1
88,2023-09-04 16:00:00,FAIR-D2,1
89,2023-09-04 16:00:00,FAIR-D3,2
90,2023-09-04 16:00:00,FAIR-D4,2
91,2023-09-04 16:00:00,ID-2,3
92,2023-09-04 16:00:00,ID-3,4
93,2023-09-04 16:00:00,ID-4,4
94,2023-09-04 18:00:00,ID-1,4
95,2023-09-04 18:00:00,ID-2,3
96,2023-09-05 08:00:00,FAIR-D2,1
97,2023-09-05 08:00:00,FAIR-D3,1
98,2023-09-05 08:00:00,ID-1,5
99,2023-09-05 08:00:00,ID-2,9
100,2023-09-05 08:00:00,ID-3,1
101,2023-09-05 08:00:00,ID-4,1
102,2023-09-05 10:00:00,FAIR-D4,2
103,2023-09-05 12:00:00,FAIR-D3,1
104,2023-09-05 12:00:00,FAIR-D4,2
105,2023-09-05 12:00:00,ID-1,12
106,2023-09-05 12:00:00,ID-2,15
107,2023-09-05 12:00:00,ID-3,3
108,2023-09-05 12:00:00,ID-4,3
109,2023-09-05 14:00:00,FAIR-D2,1
110,2023-09-05 14:00:00,FAIR-D3,2
111,2023-09-05 14:00:00,ID-2,2
112,2023-09-05 14:00:00,ID-3,1
113,2023-09-05 14:00:00,ID-4,1
114,2023-09-05 16:00:00,ID-1,3
115,2023-09-05 16:00:00,ID-2,3
116,2023-09-05 16:00:00,ID-3,9
117,2023-09-05 16:00:00,ID-4,9
118,2023-09-05 18:00:00,ID-1,4
119,2023-09-05 18:00:00,ID-2,8
120,2023-09-05 18:00:00,ID-3,5
121,2023-09-05 18:00:00,ID-4,5
122,2023-09-06 08:00:00,FAIR-D3,1
123,2023-09-06 08:00:00,FAIR-D4,1
124,2023-09-06 08:00:00,ID-3,3
125,2023-09-06 08:00:00,ID-4,3
126,2023-09-06 10:00:00,FAIR-D3,4
127,2023-09-06 10:00:00,FAIR-D4,1
128,2023-09-06 12:00:00,FAIR-D3,1
129,2023-09-06 12:00:00,FAIR-D4,2
130,2023-09-06 12:00:00,ID-1,5
131,2023-09-06 12:00:00,ID-2,1
132,2023-09-06 12:00:00,ID-3,1
133,2023-09-06 12:00:00,ID-4,1
134,2023-09-06 14:00:00,FAIR-D1,1
135,2023-09-06 14:00:00,ID-1,1
136,2023-09-06 14:00:00,ID-3,2
137,2023-09-06 14:00:00,ID-4,2
138,2023-09-06 16:00:00,FAIR-D1,1
139,2023-09-06 16:00:00,FAIR-D3,1
140,2023-09-06 16:00:00,ID-2,5
141,2023-09-06 16:00:00,ID-3,2
142,2023-09-06 16:00:00,ID-4,2
143,2023-09-06 18:00:00,FAIR-D1,2
144,2023-09-06 18:00:00,ID-2,4
145,2023-09-06 18:00:00,ID-3,11
146,2023-09-06 18:00:00,ID-4,11
147,2023-09-07 06:00:00,ID-3,9
148,2023-09-07 06:00:00,ID-4,9
149,2023-09-07 08:00:00,FAIR-D4,2
150,2023-09-07 08:00:00,ID-1,1
151,2023-09-07 08:00:00,ID-2,3
152,2023-09-07 08:00:00,ID-3,3
153,2023-09-07 08:00:00,ID-4,3
154,2023-09-07 12:00:00,FAIR-D3,2
155,2023-09-07 12:00:00,FAIR-D4,1
156,2023-09-07 12:00:00,ID-1,4
157,2023-09-07 12:00:00,ID-2,5
158,2023-09-07 12:00:00,ID-3,4
159,2023-09-07 12:00:00,ID-4,4
160,2023-09-07 14:00:00,FAIR-D3,1
161,2023-09-07 14:00:00,ID-2,2
162,2023-09-07 14:00:00,ID-3,1
163,2023-09-07 14:00:00,ID-4,1
164,2023-09-07 16:00:00,FAIR-D3,1
165,2023-09-07 16:00:00,FAIR-D4,1
166,2023-09-07 16:00:00,ID-1,1
167,2023-09-07 16:00:00,ID-2,1
168,2023-09-07 16:00:00,ID-3,57
169,2023-09-07 16:00:00,ID-4,57
170,2023-09-07 18:00:00,FAIR-D4,1
171,2023-09-07 18:00:00,ID-1,1
172,2023-09-07 18:00:00,ID-2,7
173,2023-09-07 18:00:00,ID-3,13
174,2023-09-07 18:00:00,ID-4,13
175,2023-09-08 06:00:00,FAIR-D3,1
176,2023-09-08 08:00:00,FAIR-D1,1
