ID,Device_type,Device,Site,Ambient,Checkin,Checkout,Duration,Pre-classification,Class,Order,Suborder,Superfamily,Family,Subfamily,Genus,Epithet,DateTime
3584,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-23 08:39:58,2023-08-23 08:40:03,00:00:05,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-08-23 08:39:58
3585,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-23 08:43:23,2023-08-23 08:43:27,00:00:04,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-08-23 08:43:23
3586,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-23 08:54:06,2023-08-23 08:54:12,00:00:06,fly,Insecta,Diptera,Brachycera,Oestroidea,#N/C,#N/C,#N/C,#N/C,2023-08-23 08:54:06
3587,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-23 08:57:11,2023-08-23 08:57:27,00:00:16,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-08-23 08:57:11
3588,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-23 08:57:26,2023-08-23 08:57:41,00:00:15,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-08-23 08:57:26
3589,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-23 08:58:48,2023-08-23 08:59:14,00:00:26,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-08-23 08:58:48
3590,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-23 09:05:01,2023-08-23 09:05:08,00:00:07,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,Sarcophaginae,Sarcophaga,#N/C,2023-08-23 09:05:01
3591,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-23 09:42:16,2023-08-23 09:43:12,00:00:56,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-08-23 09:42:16
3592,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-23 09:43:08,2023-08-23 09:43:27,00:00:19,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-08-23 09:43:08
3593,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-23 10:32:36,2023-08-23 10:32:41,00:00:05,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-08-23 10:32:36
3594,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-23 11:16:42,2023-08-23 11:16:57,00:00:15,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-08-23 11:16:42
3595,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-23 11:19:37,2023-08-23 11:19:50,00:00:13,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-08-23 11:19:37
3596,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-23 11:53:15,2023-08-23 12:00:29,00:07:14,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-08-23 11:53:15
3597,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-23 12:00:25,2023-08-23 12:00:37,00:00:12,parasitoid_wasp,Insecta,Hymenoptera,Apocrita,Ichneumonoidea,Ichneumonidae,#N/C,#N/C,#N/C,2023-08-23 12:00:25
3598,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-23 12:30:05,2023-08-23 12:31:47,00:01:42,ladybug,Insecta,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,Harmonia,#N/C,2023-08-23 12:30:05
3599,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-23 13:32:06,2023-08-23 13:34:25,00:02:19,ladybug,Insecta,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,Harmonia,#N/C,2023-08-23 13:32:06
3600,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-23 13:58:31,2023-08-23 14:01:43,00:03:12,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-08-23 13:58:31
3601,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-23 14:00:17,2023-08-23 14:00:56,00:00:39,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-08-23 14:00:17
3602,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-23 14:12:56,2023-08-23 14:13:00,00:00:04,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-08-23 14:12:56
3603,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-23 16:42:07,2023-08-23 16:42:53,00:00:46,ladybug,Insecta,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,Harmonia,#N/C,2023-08-23 16:42:07
3604,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-23 17:18:42,2023-08-23 17:19:02,00:00:20,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-08-23 17:18:42
3605,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-23 17:42:43,2023-08-23 17:45:41,00:02:58,robber_fly,Insecta,Diptera,Brachycera,Asiloidea,Asilidae,Asilinae,Tolmerus,#N/C,2023-08-23 17:42:43
3606,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-23 18:07:53,2023-08-23 18:18:12,00:10:19,ladybug,Insecta,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,Harmonia,#N/C,2023-08-23 18:07:53
3607,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-24 09:20:21,2023-08-24 09:20:32,00:00:11,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 09:20:21
3608,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-24 09:57:38,2023-08-24 10:03:31,00:05:53,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-08-24 09:57:38
3609,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-24 10:12:31,2023-08-24 10:12:35,00:00:04,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-08-24 10:12:31
3610,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-24 10:16:39,2023-08-24 10:38:17,00:21:38,ladybug,Insecta,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,Harmonia,#N/C,2023-08-24 10:16:39
3611,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-24 10:26:28,2023-08-24 10:46:51,00:20:23,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 10:26:28
3612,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-24 10:58:48,2023-08-24 11:00:23,00:01:35,fever_fly,Insecta,Diptera,Nematocera,Bibionoidea,Bibionoidea,Bibioninae,Dilophus,#N/C,2023-08-24 10:58:48
3613,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-24 11:31:25,2023-08-24 11:31:48,00:00:23,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-08-24 11:31:25
3614,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-24 11:47:40,2023-08-24 11:47:47,00:00:07,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 11:47:40
3615,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-24 12:12:57,2023-08-24 12:13:45,00:00:48,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-08-24 12:12:57
3616,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-24 14:17:01,2023-08-24 14:17:10,00:00:09,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-08-24 14:17:01
3617,FAIR-D,FAIR-D3,Site 3,Meadow,2023-08-24 14:30:21,2023-08-24 14:30:25,00:00:04,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 14:30:21
