,DateTime,Device,Class
0,2023-08-23 06:00:00,ID-4,6
1,2023-08-23 08:00:00,FAIR-D4,6
2,2023-08-23 08:00:00,ID-4,16
3,2023-08-23 10:00:00,FAIR-D4,9
4,2023-08-23 12:00:00,FAIR-D4,3
5,2023-08-23 12:00:00,ID-4,3
6,2023-08-23 14:00:00,FAIR-D4,2
7,2023-08-23 14:00:00,ID-4,1
8,2023-08-23 16:00:00,FAIR-D4,3
9,2023-08-23 18:00:00,FAIR-D4,2
10,2023-08-23 18:00:00,ID-4,6
11,2023-08-24 06:00:00,FAIR-D4,1
12,2023-08-24 06:00:00,ID-4,4
13,2023-08-24 08:00:00,ID-4,23
14,2023-08-24 10:00:00,FAIR-D4,4
15,2023-08-24 12:00:00,FAIR-D4,2
16,2023-08-24 12:00:00,ID-4,6
17,2023-08-24 16:00:00,FAIR-D4,6
18,2023-08-24 16:00:00,ID-4,4
19,2023-08-24 18:00:00,FAIR-D4,4
20,2023-08-24 18:00:00,ID-4,104
21,2023-08-25 06:00:00,FAIR-D4,1
22,2023-08-25 06:00:00,ID-4,2
23,2023-08-25 08:00:00,FAIR-D4,6
24,2023-08-25 08:00:00,ID-4,10
25,2023-08-25 10:00:00,FAIR-D4,7
26,2023-08-25 12:00:00,FAIR-D4,3
27,2023-08-25 12:00:00,ID-4,2
28,2023-08-25 14:00:00,FAIR-D4,1
29,2023-08-25 16:00:00,FAIR-D4,5
30,2023-08-25 16:00:00,ID-4,5
31,2023-08-25 18:00:00,ID-4,1
32,2023-08-26 06:00:00,FAIR-D4,3
33,2023-08-26 06:00:00,ID-4,6
34,2023-08-26 08:00:00,FAIR-D4,5
35,2023-08-26 08:00:00,ID-4,10
36,2023-08-26 10:00:00,FAIR-D4,15
37,2023-08-26 12:00:00,FAIR-D4,29
38,2023-08-26 12:00:00,ID-4,7
39,2023-08-26 14:00:00,FAIR-D4,18
40,2023-08-26 14:00:00,ID-4,7
41,2023-08-26 16:00:00,FAIR-D4,2
42,2023-08-26 18:00:00,FAIR-D4,1
43,2023-08-26 18:00:00,ID-4,3
44,2023-08-27 06:00:00,FAIR-D4,3
45,2023-08-27 06:00:00,ID-4,6
46,2023-08-27 08:00:00,FAIR-D4,8
47,2023-08-27 08:00:00,ID-4,7
48,2023-08-27 10:00:00,FAIR-D4,23
49,2023-08-27 12:00:00,FAIR-D4,21
50,2023-08-27 12:00:00,ID-4,1
51,2023-08-27 14:00:00,FAIR-D4,10
52,2023-08-27 14:00:00,ID-4,2
53,2023-08-27 16:00:00,FAIR-D4,3
54,2023-08-27 16:00:00,ID-4,1
55,2023-08-27 18:00:00,FAIR-D4,1
56,2023-08-27 18:00:00,ID-4,2
57,2023-08-28 06:00:00,FAIR-D4,1
58,2023-08-28 08:00:00,FAIR-D4,3
59,2023-08-28 08:00:00,ID-4,6
60,2023-08-28 10:00:00,FAIR-D4,4
61,2023-08-28 12:00:00,FAIR-D4,5
62,2023-08-28 12:00:00,ID-4,3
63,2023-08-28 14:00:00,FAIR-D4,1
64,2023-08-28 14:00:00,ID-4,7
65,2023-08-28 16:00:00,FAIR-D4,1
66,2023-08-29 06:00:00,FAIR-D4,1
67,2023-08-29 10:00:00,FAIR-D4,1
68,2023-08-29 12:00:00,FAIR-D4,3
69,2023-08-29 14:00:00,FAIR-D4,5
70,2023-08-29 16:00:00,FAIR-D4,6
71,2023-08-29 18:00:00,FAIR-D4,1
72,2023-08-30 08:00:00,FAIR-D4,1
73,2023-08-30 10:00:00,FAIR-D4,8
74,2023-08-30 12:00:00,FAIR-D4,1
75,2023-08-30 14:00:00,FAIR-D4,7
76,2023-08-30 16:00:00,FAIR-D4,5
77,2023-08-30 16:00:00,ID-4,5
78,2023-08-30 18:00:00,FAIR-D4,1
79,2023-08-30 18:00:00,ID-4,18
80,2023-08-31 06:00:00,ID-4,6
81,2023-08-31 08:00:00,FAIR-D4,1
82,2023-08-31 08:00:00,ID-4,6
83,2023-08-31 10:00:00,FAIR-D4,6
84,2023-08-31 12:00:00,FAIR-D4,5
85,2023-08-31 12:00:00,ID-4,9
86,2023-08-31 14:00:00,FAIR-D4,2
87,2023-08-31 14:00:00,ID-4,3
88,2023-08-31 16:00:00,FAIR-D4,4
89,2023-08-31 16:00:00,ID-4,3
90,2023-08-31 18:00:00,FAIR-D4,1
91,2023-08-31 18:00:00,ID-4,26
92,2023-09-01 08:00:00,FAIR-D4,4
93,2023-09-01 08:00:00,ID-4,2
94,2023-09-01 10:00:00,FAIR-D4,8
95,2023-09-01 12:00:00,FAIR-D4,12
96,2023-09-01 14:00:00,FAIR-D4,5
97,2023-09-01 16:00:00,FAIR-D4,5
98,2023-09-01 18:00:00,FAIR-D4,3
