Time,AIRTEMP,GROUNDTEMP,AIRP,PRECIPITATION,RH,RH_GROUND,WINDSPEED,WINDSPEED_MIN,WINDSPEED_MAX,RAD,DateTime
1692693900000000000,26.2,0.0,975.72,0.0,0.0,0.0,0.75,0.0,1.48,0.0,2023-08-22 08:45:00
1692694800000000000,26.2,0.0,975.72,0.0,0.0,0.0,0.75,0.0,1.48,0.0,2023-08-22 09:00:00
1692695700000000000,26.2,0.0,975.72,0.0,100.0,0.0,0.75,0.0,1.48,0.0,2023-08-22 09:15:00
1692696600000000000,26.7,0.0,976.55,0.0,100.0,0.0,1.16,0.28,2.08,0.0,2023-08-22 09:30:00
1692697500000000000,26.7,0.0,976.55,0.0,100.0,0.0,1.16,0.28,2.08,0.0,2023-08-22 09:45:00
1692698400000000000,29.7,0.0,977.25,0.0,100.0,0.0,1.16,0.0,2.76,0.0,2023-08-22 10:00:00
1692699300000000000,29.7,0.0,977.25,0.0,100.0,0.0,1.16,0.0,2.76,0.0,2023-08-22 10:15:00
1692700200000000000,30.5,0.0,964.45,0.0,100.0,0.0,1.71,0.0,3.24,0.0,2023-08-22 10:30:00
1692701100000000000,30.5,0.0,964.45,0.0,100.0,0.0,1.71,0.0,3.24,0.0,2023-08-22 10:45:00
1692702000000000000,30.1,0.0,967.96,0.0,100.0,0.0,2.43,0.36,5.93,0.0,2023-08-22 11:00:00
1692702900000000000,30.1,0.0,967.96,0.0,100.0,0.0,2.43,0.36,5.93,0.0,2023-08-22 11:15:00
1692703800000000000,31.1,0.0,974.09,0.0,100.0,0.0,2.29,0.68,3.72,0.0,2023-08-22 11:30:00
1692704700000000000,31.1,0.0,974.09,0.0,89.2,0.0,2.29,0.68,3.72,0.0,2023-08-22 11:45:00
1692705600000000000,31.7,0.0,991.37,0.0,89.2,0.0,2.92,0.36,6.17,0.0,2023-08-22 12:00:00
1692706500000000000,31.7,0.0,991.37,0.0,100.0,0.0,2.92,0.36,6.17,0.0,2023-08-22 12:15:00
1692707400000000000,32.5,0.0,994.42,0.0,100.0,0.0,3.31,1.52,5.77,0.0,2023-08-22 12:30:00
1692708300000000000,32.5,0.0,994.42,0.0,84.6,0.0,3.31,1.52,5.77,0.0,2023-08-22 12:45:00
1692709200000000000,32.6,0.0,1003.67,0.0,84.6,0.0,3.7,1.28,9.81,0.0,2023-08-22 13:00:00
1692710100000000000,32.6,0.0,1003.67,0.0,75.0,0.0,3.7,1.28,9.81,0.0,2023-08-22 13:15:00
1692711000000000000,33.2,0.0,1013.99,0.0,75.0,0.0,3.89,1.28,6.73,0.0,2023-08-22 13:30:00
1692711900000000000,33.2,0.0,1013.99,0.0,75.0,0.0,3.89,1.28,6.73,0.0,2023-08-22 13:45:00
1692712800000000000,31.8,0.0,1010.03,0.0,86.3,0.0,4.71,1.8,7.57,0.0,2023-08-22 14:00:00
