,DateTime,Device_type,Class
0,2023-08-23 06:00:00,FAIR-D,1
1,2023-08-23 06:00:00,ID,4
2,2023-08-23 08:00:00,FAIR-D,3
3,2023-08-23 08:00:00,ID,24
4,2023-08-23 10:00:00,FAIR-D,3
5,2023-08-23 12:00:00,FAIR-D,2
6,2023-08-23 12:00:00,ID,5
7,2023-08-23 14:00:00,FAIR-D,5
8,2023-08-23 14:00:00,ID,1
9,2023-08-23 16:00:00,FAIR-D,1
10,2023-08-23 16:00:00,ID,4
11,2023-08-23 18:00:00,ID,3
12,2023-08-24 06:00:00,ID,2
13,2023-08-24 08:00:00,ID,9
14,2023-08-24 10:00:00,FAIR-D,4
15,2023-08-24 12:00:00,FAIR-D,4
16,2023-08-24 14:00:00,FAIR-D,1
17,2023-08-24 14:00:00,ID,2
18,2023-08-24 16:00:00,ID,1
19,2023-08-24 18:00:00,FAIR-D,3
20,2023-08-24 18:00:00,ID,13
21,2023-08-25 06:00:00,ID,2
22,2023-08-25 08:00:00,ID,12
23,2023-08-25 12:00:00,ID,53
24,2023-08-25 14:00:00,FAIR-D,3
25,2023-08-25 14:00:00,ID,34
26,2023-08-25 16:00:00,FAIR-D,9
27,2023-08-25 16:00:00,ID,7
28,2023-08-25 18:00:00,FAIR-D,6
29,2023-08-25 18:00:00,ID,14
30,2023-08-26 06:00:00,FAIR-D,1
31,2023-08-26 06:00:00,ID,18
32,2023-08-26 08:00:00,FAIR-D,30
33,2023-08-26 08:00:00,ID,32
34,2023-08-26 10:00:00,FAIR-D,47
35,2023-08-26 12:00:00,FAIR-D,40
36,2023-08-26 12:00:00,ID,36
37,2023-08-26 14:00:00,FAIR-D,39
38,2023-08-26 14:00:00,ID,32
39,2023-08-26 16:00:00,FAIR-D,2
40,2023-08-26 16:00:00,ID,3
41,2023-08-26 18:00:00,ID,2
42,2023-08-27 06:00:00,ID,5
43,2023-08-27 08:00:00,FAIR-D,16
44,2023-08-27 08:00:00,ID,10
45,2023-08-27 10:00:00,FAIR-D,31
46,2023-08-27 12:00:00,FAIR-D,18
47,2023-08-27 12:00:00,ID,11
48,2023-08-27 14:00:00,FAIR-D,10
49,2023-08-27 14:00:00,ID,8
50,2023-08-27 16:00:00,FAIR-D,4
51,2023-08-27 18:00:00,FAIR-D,1
52,2023-08-27 18:00:00,ID,3
53,2023-08-28 06:00:00,FAIR-D,1
54,2023-08-28 08:00:00,FAIR-D,2
55,2023-08-28 08:00:00,ID,7
56,2023-08-28 10:00:00,FAIR-D,3
57,2023-08-28 12:00:00,FAIR-D,2
58,2023-08-28 12:00:00,ID,16
59,2023-08-28 14:00:00,ID,9
60,2023-08-28 16:00:00,ID,2
61,2023-08-29 12:00:00,FAIR-D,1
62,2023-08-30 08:00:00,ID,20
63,2023-08-30 10:00:00,FAIR-D,1
64,2023-08-30 12:00:00,FAIR-D,20
65,2023-08-30 12:00:00,ID,105
66,2023-08-30 14:00:00,FAIR-D,5
67,2023-08-30 14:00:00,ID,129
68,2023-08-30 16:00:00,FAIR-D,6
69,2023-08-30 16:00:00,ID,14
70,2023-08-30 18:00:00,FAIR-D,2
71,2023-08-30 18:00:00,ID,34
72,2023-08-31 08:00:00,FAIR-D,6
73,2023-08-31 10:00:00,FAIR-D,5
74,2023-08-31 12:00:00,FAIR-D,4
75,2023-08-31 12:00:00,ID,97
76,2023-08-31 14:00:00,FAIR-D,2
77,2023-08-31 14:00:00,ID,82
78,2023-08-31 16:00:00,FAIR-D,3
79,2023-08-31 16:00:00,ID,16
80,2023-08-31 18:00:00,FAIR-D,2
81,2023-08-31 18:00:00,ID,35
82,2023-09-01 06:00:00,FAIR-D,1
83,2023-09-01 08:00:00,FAIR-D,4
84,2023-09-01 08:00:00,ID,1
85,2023-09-01 10:00:00,FAIR-D,1
86,2023-09-01 12:00:00,FAIR-D,7
87,2023-09-01 12:00:00,ID,40
88,2023-09-01 14:00:00,FAIR-D,8
89,2023-09-01 14:00:00,ID,9
90,2023-09-01 16:00:00,FAIR-D,7
91,2023-09-01 16:00:00,ID,2
92,2023-09-01 18:00:00,FAIR-D,1
93,2023-09-01 18:00:00,ID,2
