ID,Device_type,Device,Site,Ambient,Checkin,Checkout,Duration,Pre-classification,Class,Order,Suborder,Superfamily,Family,Subfamily,Genus,Epithet,DateTime
1232,ID,ID-2,Site 2,Maize Field,2023-08-23 07:01:59.395,2023-08-23 07:02:23.813,00:00:24.418000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-23 07:01:59.395
1233,ID,ID-2,Site 2,Maize Field,2023-08-23 07:02:00.811,2023-08-23 07:02:13.802,00:00:12.991000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-23 07:02:00.811
1234,ID,ID-2,Site 2,Maize Field,2023-08-23 07:02:30.823,2023-08-23 07:02:39.390,00:00:08.567000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-23 07:02:30.823
1235,ID,ID-2,Site 2,Maize Field,2023-08-23 07:02:49.286,2023-08-23 07:08:04.566,00:05:15.280000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-23 07:02:49.286
3410,FAIR-D,FAIR-D2,Site 2,Maize Field,2023-08-23 07:58:20.000,2023-08-23 07:58:34.000,00:00:14,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-08-23 07:58:20.000
1236,ID,ID-2,Site 2,Maize Field,2023-08-23 08:03:08.445,2023-08-23 08:03:11.267,00:00:02.822000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-23 08:03:08.445
1237,ID,ID-2,Site 2,Maize Field,2023-08-23 08:11:03.903,2023-08-23 08:11:06.733,00:00:02.830000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,#N/C,#N/C,2023-08-23 08:11:03.903
3411,FAIR-D,FAIR-D2,Site 2,Maize Field,2023-08-23 08:48:03.000,2023-08-23 08:48:23.000,00:00:20,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-08-23 08:48:03.000
1238,ID,ID-2,Site 2,Maize Field,2023-08-23 09:00:28.931,2023-08-23 09:00:46.200,00:00:17.269000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-23 09:00:28.931
774,ID,ID-1,Site 1,Maize Field,2023-08-23 09:01:53.776,2023-08-23 09:01:56.625,00:00:02.849000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-23 09:01:53.776
