ID,Device_type,Device,Site,Ambient,Checkin,Checkout,Duration,Pre-classification,Class,Order,Suborder,Superfamily,Family,Subfamily,Genus,Epithet,DateTime
3829,FAIR-D,FAIR-D3,Site 3,Meadow,2023-09-02 08:19:31.000,2023-09-02 08:20:21.000,00:00:50,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-09-02 08:19:31.000
3830,FAIR-D,FAIR-D3,Site 3,Meadow,2023-09-02 08:29:19.000,2023-09-02 08:37:42.000,00:08:23,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-09-02 08:29:19.000
4180,FAIR-D,FAIR-D4,Site 4,Meadow,2023-09-02 10:13:23.000,2023-09-02 10:14:47.000,00:01:24,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-09-02 10:13:23.000
4181,FAIR-D,FAIR-D4,Site 4,Meadow,2023-09-02 10:23:48.000,2023-09-02 10:24:24.000,00:00:36,wasp,Insecta,Hymenoptera,Apocrita,Vespoidea,Vespidae,Vespinae,Vespula,#N/C,2023-09-02 10:23:48.000
4182,FAIR-D,FAIR-D4,Site 4,Meadow,2023-09-02 10:26:09.000,2023-09-02 10:26:13.000,00:00:04,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-09-02 10:26:09.000
4183,FAIR-D,FAIR-D4,Site 4,Meadow,2023-09-02 10:27:48.000,2023-09-02 10:28:05.000,00:00:17,wasp,Insecta,Hymenoptera,Apocrita,Vespoidea,Vespidae,Vespinae,Vespula,#N/C,2023-09-02 10:27:48.000
4184,FAIR-D,FAIR-D4,Site 4,Meadow,2023-09-02 11:01:30.000,2023-09-02 11:01:49.000,00:00:19,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-09-02 11:01:30.000
4185,FAIR-D,FAIR-D4,Site 4,Meadow,2023-09-02 11:03:14.000,2023-09-02 11:03:27.000,00:00:13,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 11:03:14.000
4186,FAIR-D,FAIR-D4,Site 4,Meadow,2023-09-02 11:10:51.000,2023-09-02 11:11:00.000,00:00:09,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 11:10:51.000
4187,FAIR-D,FAIR-D4,Site 4,Meadow,2023-09-02 11:21:53.000,2023-09-02 11:22:39.000,00:00:46,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,#N/C,2023-09-02 11:21:53.000
4188,FAIR-D,FAIR-D4,Site 4,Meadow,2023-09-02 11:21:53.000,2023-09-02 11:29:24.000,00:07:31,fly,Insecta,Diptera,Brachycera,Muscoidea,Fanniidae,-,Fannia,#N/C,2023-09-02 11:21:53.000
4189,FAIR-D,FAIR-D4,Site 4,Meadow,2023-09-02 11:24:47.000,2023-09-02 11:25:30.000,00:00:43,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-09-02 11:24:47.000
340,ID,ID-3,Site 3,Meadow,2023-09-02 12:12:54.105,2023-09-02 12:13:15.496,00:00:21.391000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,Eristalis,#N/C,2023-09-02 12:12:54.105
