Tag,Stunde,Time,RH,AIRTEMP20,AIRTEMP,GROUNDTEMP05,GROUNDTEMP,WINDSPEED,RAD,PRECIPITATION
1.6926624e+18,0.0,1.6926624e+18,94.5,18.9,20.9,24.5,22.2,0.6,0.0,0.0
1.6926624e+18,0.0,1.6926633e+18,94.85,18.7,20.775,24.4,22.15,0.55,0.0,0.0
1.6926624e+18,0.0,1.6926642e+18,95.2,18.5,20.65,24.3,22.1,0.5,0.0,0.0
1.6926624e+18,0.0,1.6926651e+18,95.55000000000001,18.3,20.525,24.200000000000003,22.05,0.45,0.0,0.0
1.6926624e+18,0.0,1.692666e+18,95.9,18.1,20.4,24.1,22.0,0.4,0.0,0.0
1.6926624e+18,0.0,1.6926669e+18,96.25,18.025000000000002,20.25,24.025000000000002,21.975,0.375,0.0,0.0
1.6926624e+18,0.0,1.6926678e+18,96.6,17.950000000000003,20.1,23.950000000000003,21.95,0.35,0.0,0.0
1.6926624e+18,0.0,1.6926687e+18,96.95,17.875,19.95,23.875,21.924999999999997,0.325,0.0,0.0
1.6926624e+18,0.0,1.6926696e+18,97.3,17.8,19.8,23.8,21.9,0.3,0.0,0.0
1.6926624e+18,0.0,1.6926705e+18,97.525,17.825,19.75,23.775,21.849999999999998,0.3,0.0,0.0
1.6926624e+18,0.0,1.6926714e+18,97.75,17.85,19.700000000000003,23.75,21.799999999999997,0.3,0.0,0.0
1.6926624e+18,0.0,1.6926723e+18,97.975,17.875,19.650000000000002,23.725,21.75,0.3,0.0,0.0
1.6926624e+18,0.0,1.6926732e+18,98.2,17.9,19.6,23.7,21.7,0.3,0.0,0.0
1.6926624e+18,0.0,1.6926741e+18,98.125,17.875,19.55,23.625,21.675,0.325,0.0,0.0
1.6926624e+18,0.0,1.692675e+18,98.05000000000001,17.85,19.5,23.549999999999997,21.65,0.35,0.0,0.0
1.6926624e+18,0.0,1.6926759e+18,97.97500000000001,17.825,19.45,23.474999999999998,21.625,0.375,0.0,0.0
1.6926624e+18,0.0,1.6926768e+18,97.9,17.8,19.4,23.4,21.6,0.4,0.0,0.0
1.6926624e+18,0.0,1.6926777e+18,98.075,17.7,19.275,23.349999999999998,21.575000000000003,0.4,0.0,0.0
1.6926624e+18,0.0,1.6926786e+18,98.25,17.6,19.15,23.299999999999997,21.55,0.4,0.0,0.0
1.6926624e+18,0.0,1.6926795e+18,98.425,17.5,19.025,23.25,21.525,0.4,0.0,0.0
1.6926624e+18,0.0,1.6926804e+18,98.6,17.4,18.9,23.2,21.5,0.4,0.0,0.0
1.6926624e+18,0.0,1.6926813e+18,98.69999999999999,17.375,18.825,23.175,21.45,0.4,2.4,0.0
1.6926624e+18,0.0,1.6926822e+18,98.8,17.35,18.75,23.15,21.4,0.4,4.8,0.0
1.6926624e+18,0.0,1.6926831e+18,98.9,17.325,18.675,23.125,21.35,0.4,7.199999999999999,0.0
1.6926624e+18,0.0,1.692684e+18,99.0,17.3,18.6,23.1,21.3,0.4,9.6,0.0
1.6926624e+18,0.0,1.6926849e+18,98.275,17.825,18.950000000000003,23.125,21.275,0.42500000000000004,33.35,0.0
1.6926624e+18,0.0,1.6926858e+18,97.55,18.35,19.3,23.15,21.25,0.45,57.1,0.0
1.6926624e+18,0.0,1.6926867e+18,96.82499999999999,18.875,19.65,23.175,21.225,0.475,80.85,0.0
